Hotelname,Review,Reviewed By,Date,Rating
BS Plaza,"I have been visiting this hotel from last 3 years. I have stayed at this hotel and have ordered food from the in house restaurant. I admire the friendly hotel staff, starting from the reception to kitchen. The courtesy and the friendliness of all the hotel employees has always touched me. Tandoori Chicken is the my favorite. The rooms are moderate; however, the service is very much comfortable and appreciable. Well located in Bistupur with almost all kind of required services. Laundry service is very much limited and hence i would advise to check the timings for the same. Overall, It was a memorable experience since the very first time.",adirups,24-Mar-16,5
BS Plaza,"I have stayed twice at BS park plaza and visited couple of occasions for lunch or dinner parties. At bistupur, the main market place of jamshedpur. Always delighted with the services and food. Parking space is not enough, however in my view that is not a constraint. You may visit here for wining and dining. Highly recommended",raj74,5-Oct-17,5
BS Plaza,"Jamshedpur has very few mid range hotels. They are too costly as the tax itself is 20 % of the room rent. apart from this hotel,there is Natraj and Bouleward hotel . Both of them don?t have elevators. So we had no choice but to book this one. They took the booking over the phone. No advance payment was required. the location is perfect. The rooms are nice, spacious, neat and clean. There is a geyser fitted to the bath. So no worries about round the clock hot water supply. Our geyser did not function properly on the 2nd day. They rectified it immediately. Breakfast was good. The problems we faced during our stay are.: 1.We had hired an extra bed (Rs 800+).they just dropped a mattress on the freezing cold floor.Thats it!. they did not have the portable cot. They don?t offer complimentary breakfast for children. its not included in this extra bed charge also.
2. the lobby was terribly smelly.
3. doors were jammed.the handle came with our hand.
4. its on the main road- around 2.00 am there was some lorry that was kept in reverse gear (for more than 30min). The loud beep noise was so annoying. I couldn?t sleep anymore.",travelsome4,28-Jan-16,3
Nalanda Hotel,"Although it is quite an old Hotel it has lost its charm in face of new competitors. What I did not like was that they gave me a standard room and while checking out they were billing me a deluxe room. When I brought it to their notice that I was in the standard room , they change the bill. Never expect a good hotel to do this kind of herapheri.",sandipkumarde,22-Dec-17,3
Nalanda Hotel,"This is hotel is not very new and carries a pretty good brand value. Its located in the Bishtupur area of Tatanagar, which is the main market here. Its on the road itself and 3 kms away from Jamshedpur railway station. Very good reception and service. Even they will deliver the complimentary breakfast on your bed once requested.",kgt7,22-Mar-17,4
Nalanda Hotel,"Hotel is located at Bistupur. Location is excellent. I stayed in single occupancy Ac room @ Rs 1800 . You can get discount at reception. Luxury room @ 2800 for twin sharing. Staffs are courteous. Luxary room are good. Infrastructure looks old but maintained properly. Toilet & bed sheets were clean. They will provide shampoo pouch & soap.
Food are ok through it is bit costly. Average cost for veg dinner will be around Rs 300. If you are planning to catch a train in the morning ,better to settle payment after dinner else it will take 10-15 min. Auto`s are easily available in front of hotel. Settle Auto is also available. Distance from hotel to Tatanagar station is around 3 km & auto will charge Rs 60-80.",anjy37,22-Feb-16,4
Nalanda Hotel,Stayed there just for a day. Experience was good. Courteous and helpful room service. Reception desk has also got prompt action. For longer stay the top class rooms are excellent except the location of bathrooms.,SaswatSaraph,10-Dec-12,4
Golden Leaf Resort,"We were a team of 18 people, including 5 kids, travelling from Kolkata and had booked for 2 nights at the Golden Leaf Resort during Holi. We reached Jamshedpur early in the morning around 4:00 AM and the resort manager was helpful enough to allow for an early-checkin. The deluxe rooms were very good - clean and spacious with attached balcony. Room service was very efficient. 
Breakfast was complimentary and served in the restaurant- The Woods. Normally, there was bread, eggs, puri sabji, cornflakes, idli/alu paratha, juices, tea/coffee available for breakfast. 
The resort had a nice lawn which was decorated during the Holi day. Our team had a good time playing with colors. There was also a small children park to keep the kids busy. Special lunch thali @499 was served on the Holi afternoon in the lawn. The taste of the items was good but the quantity was very little. In the evening, we had starters specially the Pahari chicken which was too good. Food was tasty but expensive. The service was good though, we were served ice creams even though we ordered them pretty late at night.

Overall a well-maintained resort, to enjoy a couple of days in the lap of nature.",Tamalika M,17-Mar-18,4
Golden Leaf Resort,"Nestled in the lush green foothills of Dalma Wildlife Sanctuary, this is a perfect weekend getaway resort. It takes approx 4 hours to reach Jamshedpur by train from Kolkata. From station the resort is almost 18 kms away at the fringe of Jamshedpur city. You get close touch with nature yet the convenience of a city. The resort is very well planned. The staff are courteous and food is great. The service quality though good is a bit slow. However if you plan to just laze away your weekend in Nature's lap after a hectic life in city, this is as good as it gets. Tip: Book through online portals who give heavy discounts which even direct booking at hotel cannot match. Do homework before hand.",sk532,5-Oct-17,4
Golden Leaf Resort,"One of the finest and classiest hotels in Jamshedpur. Located outskirts of the town but very near to Dalma Wildlife Sanctuary.

The best part is waKing up in the morning to the beauty of Dalma Hill Range. 

It's a premium hotel (expensive) but every penny spent is worth it",jitendra d,1-Oct-17,4
Golden Leaf Resort,"We had booked for two nights, and had plans of travelling with parents. The pictures seemed nice, and even though some reviews here warns you of shoddy customer service, we thought of taking a chance. Well, after booking through booking.com I tried calling the mobile number multiple times, but no one picks up the phone! Then I called the landline number (you can find it in justdial). Well, someone picks up if you are really persistent (say after every 5th or 6th attempt). But till date they just couldn't confirm our booking. Every time we called they said they will call back, which they don't, and then when you call them, the response is again the same. 
I shudder to think the service we would get during the stay if they can't confirm the booking for the last 10 days. It would be too much of a risk if they turned us down when we land there with our parents! So we went ahead and booked another hotel (KC manor) who was able to confirm the booking the very first time I called. 
Thank God, for free cancellation policies!! Small mercies!",Sayani_Wanderlust,9-Sep-17,1
Golden Leaf Resort,"I was there to attend a celebration party, approach road is very bad and muddy, for big events no proper parking facilities, I was bound to park my car 500 meters away from venue. Good for 50-100 people. Need improvements.",Ash k,5-Jul-17,3
Holidei Inn,I had stay one day .feeling awasom ..really very good hotel .it was my first visit in holideiinn ..room are very clean and well maintained..service was good and food was delicious...every thing is fine ..,bhaskarkumar364,24-Mar-18,5
Holidei Inn,"We have reached Holidei Inn hotel on 8July 2017 , we ahve booked 5 rooms. Hotel is in main Bazar. all the rooms are very good with good AC. Their room service also good. Only one bad thing We had to wait for 1.5 hour to check in on those rooms as they usually takes long time to prepare the rooms for guest chicken. other than that they provide good services. Their food is very good feel like homely food. not very much spicy . They can provide complementary breakfast on the rooms. They don't have big restaurant, but small area wit dining tables which is enough for 10-12 people to sit and take food.",Pritam G,19-Sep-17,5
Holidei Inn,"Nice hotel in Jamshedpur near to Sakchi market easy to reach hotel. I stayed in hotel. the room was good clean and well maintained satffs behaviour was good.room service was good and very quick. breakfast was also good basically ALU pratha was very tasty I had eaten, overall the hotel is excellent. I like the hotel and again visit to my next trip....",Vivek K,8-Jul-17,5
Holidei Inn,"Clean hotel, good food quality, good room service location near sukchi bazar opposite lane approx 200M from Sakchi Gurudwara over Kalimati road. Auto available for all direction Bustand is approx 1Km away",debasis82,17-Jun-17,4
Holidei Inn,Experience wasn't good. Spend a sleepless night there because there was worms or something like this in the bed which causes irritation in my skin. Furniture was quite old. Bathroom might no attract You. Only thing was good was stuffs service.,blackfury60,28-May-17,3
Holidei Inn,"Good Hotel, AC room...Average decor, LCD TV , Hot and cold water available, Quality of food is very good............but overpriced(Rice 100, Alu Bhaji 100 etc)free Wi-fi available.............very near to Sakchi Golchakkar, Location is very good.staffs are good, well behaved",san007dip,11-Jan-17,3
Holidei Inn,Rooms are well cleaned and maintained. Location is very nicely approachable. Staff are well mannered and courteous. I enjoyed my stay here. Room service is fast and excellent. Enjoyed five star facilities at a three star budget hotel which is highly appreciable,sk532,15-Mar-17,5
Holidei Inn,I had stay one day .feeling awasom ..really very good hotel .it was my first visit in holideiinn ..room are very clean and well maintained..service was good and food was delicious...every thing is fine ?,bhaskarkumar364,25-Mar-18,5
Holidei Inn,"We have reached Holidei Inn hotel on 8July 2017 , we ahve booked 5 rooms. Hotel is in main Bazar. all the rooms are very good with good AC. Their room service also good. Only one bad thing We had to wait for 1.5 hour to check in on those rooms as they usually takes long time to prepare the rooms for guest chicken. other than that they provide good services. Their food is very good feel like homely food. not very much spicy . They can provide complementary breakfast on the rooms. They don't have big restaurant, but small area wit dining tables which is enough for 10-12 people to sit and take food.",Pritam G,19-Sep-17,5
Holidei Inn,"Nice hotel in Jamshedpur near to Sakchi market easy to reach hotel. I stayed in hotel. the room was good clean and well maintained satffs behaviour was good.room service was good and very quick. breakfast was also good basically ALU pratha was very tasty I had eaten, overall the hotel is excellent. I like the hotel and again visit to my next trip....",Vivek K,8-Jul-17,5
Holidei Inn,"Clean hotel, good food quality, good room service location near sukchi bazar opposite lane approx 200M from Sakchi Gurudwara over Kalimati road. Auto available for all direction Bustand is approx 1Km away",debasis82 ,17-Jun-17,4
Akash Guest House,"We were here for for short time, only for some hours. The place was not very big. Rate was not very expensive. Room was not big in size. Not very much appealing place to stay. Connectivity wise it is rood. So called reception",garhwaliya,31-Jul-17,3
Hotel BS Residency,"Rooms are big, Lights are good, staff behavior is OK, location is in bistupur but you have to walk around 500 to 750 m for public transport and main market however some daily needs can be found near by. Entrance is good but a near by cows shed will irritate you with its smell.",Amresh_traveller,25-May-16,3
Hotel BS Residency,"Hotel BS residency is an average property in Jamshedpur.Although the rooms are big,they are ill maintained.Poor interiors,broken windows & fittings in toilets & poor quality bed & mattress makes it way below the average hotel.Although known as Corporate Budget Hotel,its not upto the mark.
Restaurant has very few dishes.Service is late & a wake up call request in the morning is completely forgotten.
The only plus point is the staff's courteous behaviour.
Location wise it is in the interior of Bistupur, & difficult to access the main Bistupur market.
A wedding party in the hotel during my stay went on till early morning with loud music & guests depriving business guests of their much sought rest!!",Deepak_01,17-Dec-14,3
Hotel South Park,Spent 3 days here for Company Business. Breakfast is very nice though not wide selection.Regarding stay I would say not so big room but very neat & clean & bed quality is good. Bathroom is also neat & clean. A.C is new & good. Hotel staffs are caring.Plus point is that exactly in center of Bistupur area so regarding communication & local restaurants having wide choices. I would like to stay again & again.,Chandrasekhar P,21-Aug-17,3
Hotel South Park,I stayed at this hotel for just one night to suffice my work related travel. Rooms are clean and well maintained. Service is prompt. Food quality is average. Since the hotel was near to my workplace so i was pretty happy. Further you would be happy to get double room at the price of single with bit of bargain.,Ayush K,31-Jul-17,3
Hotel South Park,"Very Comfortable stay for two days at Hotel South Park Recently i had Experienced, we couple had stayed over there, Hotel is not luxury not excellent building and decoration but hotel surrounding was so nice, A perfect accommodation we had got more than we expected, Rooms were nicely managed cleaning at the best sleeping quality was good enough flooring was also maintained, staff were helpful and attentive at service overall nice and more than expected serviced we had by hotel South Park good time",tinatrived,15-Feb-17,5
Hotel South Park,Spent two nights here. Quite a nice hotel at a good discount price on Booking.com. Really old slow lift to my room in the turret! Permanent smell of moth balls and joss sticks. Very comfortable bed and good but slow shower ( although they need to clear out the drain so the whole area doesn't get flooded) Good breakfast but I have had better. Masala dosa quite small and bland. Slow service in the evening meal. Too interested in watching the India/ England one day international on the telly ( we won) Would go back if I am ever in the area again,robiwatts,25-Jan-17,4
Hotel South Park,this hotel is best if u are on a tight budget.. expect not much. hotel is best if u just want to spend the night. location is great and pricing is excellent. hotel staff's are a bit ignorant but who cares.,pranay6687,28-Aug-16,3
Hotel South Park,"Stayed here for one night with a friend and found the hotel very average. Rooms were very small, bedding was not that good either. For what you are getting I would say this hotel is overpriced. Definitely not worth staying unless there is nothing else on offer.
Staff were very polite and helpful.",charlethomson,18-Apr-16,3
Hotel South Park,"I have stayed quite few times in this hotel. If your budget permits go for higher category. Std, delux rooms are quite small for comfort. The rooms are well maintained but my recent stay I found the maintenance lacking. Could be 1 odd time. The food quality is good and the service also is prompt. The morning breakfast options is highly limited in choice. The hotel in a nutshell is value for money.",Samudrajeet,13-Jul-15,3
Hotel South Park,"Nicely located, on the 'Q' road which is behind and runs parallel to the main road at Bistupur (landmark HERO showroom). Stayed for just one night, but the good service, excellent food and above all the nice and clean rooms with top class fittings and amenities did leave an impression. Overall experience is beyond what one comes to expect from this category of hotels. Highly recommend.",Amitsengupta2014,17-Apr-15,5
Hotel South Park,"Small rooms, dirty and average. Priced on the slightly higher side for the location and the offering. Not recommended if you are travelling with family or are a single woman. It's a busy place so lots of people around. You will be able hear people on the corridor pretty easily.",Mahekmody,29-Nov-14,2
Hotel South Park,"Stayed in the hotel in as wanted to stay with colleagues. Stayed in the highest category room but was disappointed with the amenities available.Cost & overall room was good but the items used like towel, no toiletries etc was disappointing.",SaswatSaraph,19-Apr-14,1
The Boulevard Hotel,"It's amazing the gathering are fully supported and fine environment of hearing the lecture and feed back was also amazing. The response is more than expectation and the session is more enjoyable, so I can say a good experience in my trip.",Shahnawaz M,14-Sep-17,5
The Boulevard Hotel,"Hotel Boulevard was easy to locate. Nice Lobby. Receptionist was courteous. But the room offered was like a furnace, and they had no other spare room. Had to put A/c on for sometime to cool down. Wi-fi was good. Food Tasty. Freidnly staff.",RAJESHCV,8-Sep-17,4
The Boulevard Hotel,"Have been staying here since Feb 2016 and still I find this hotel very appealing because of the simplistic ambience as far as the rooms and other services are concerned. This time too it wasn't an exception. The staff are intriguingly funny, inquisitive and courteous. But sometimes the simplicity lays bare some of the essentials that need to be taken care of like malfunctioning air-conditioners and television sets. The prices at Chopsticks I felt are a bit too over expensive compared to what is available outside. The hotel management can have their reasons but perhaps keeping the prices low could attract more customers as they can refrain from going elsewhere. Rest is okay. And that includes the Brubeck Bakery that continues to be as stunningly alluring as it was last December for the variety of sandwiches and pizzas it sells at great prices. A must visit for all Boulevardians! Had a good time there amid roaring silence this time too. Already missing those days",Travelmaniac19,9-Aug-17,4
The Boulevard Hotel,"Free Wi-fi and a terrace,Also one can enjoy the on-site restaurant,that serve very delicious food.Its in bistupur which a very good place for shopping and other purpose.Easy connectivity with railway station about 4 KM.",Vivek  k,14-Jun-17,3
The Boulevard Hotel,Hotel is on main road bistupur jamshedpur established in year1940. The hotel is budget hotel and also on OYO ROOMS. THE ROOMS ARE very good and behavior of the staff including manager is very curtious,vsyadav65,23-May-17,4
The Boulevard Hotel,"Every year special food festivals are held at the Chopsticks Restaurant of Hotel Boulevard, and this year was no different. While most major restaurants in Jamshedpur hold Bengali Food Festivals duirng the Bengali New Year period, the popularity of such festivals depend not just on the publicised long list of menu items, but more importantly on the authenticity of Bengali flavours. 

On this last and most important criterion I found Chopsticks to score heavily over its other peers. For a true Bengali food connosieur a sure shot ""put-off"" is to discover a Punjabi flavour in the much touted ""Dhokar Dalna"" or Echorer Dalna"" - a mandatory listing on any Bengali speciality menu. Unfortunately, many of the restaurants take the easy shortcut to use their base Punjabi gravy to garnish these so called Bengali dishes and make a mess of their pretensions of offering authentic Bengali fare.

While the vegetarian menu during the Bengali Food festival at Chopsticks was not only authentic but also as near as possible to grandma""s standards of tasty Bengali cooking. Even the Begun Bhaja and Chholaar daal were of the lip smacking variety. 

Not to be left behind, the fish dishes were a real revelation as far as the sizes of the fishes were concerned, backed uop with real fine cooking. It was clear that that ""Paabda"" fish was specailly brought from the premier Kolkata markets, instead of compromising with the smaller specimens available locally. The Hilsa dish was also well prepared, but to be honest, the out of season Hilsa really could not contribute much to the overall tastiness of the dish. The mutton in the ""Kosha Mangso"" was indeed tender and provided just the contrasting blend to supplement the fish dishes.

Due thoughtfulness was shown in the dessert items too, and special mention needs to be made of the mango chutney - an absolute must for a summer menu, and the ""payesh"" to round off a truly satisfying ""Bangali Bhoj""

Last but not the least, a comparison of the rates charged makes the Chopstick fare a hugely superior value for money, added with the convenience of being offered a choice between a la carte; buffet and ""thaali"" options",pkghosh,22-Apr-17,4
The Boulevard Hotel,"A short stopover for lunch at Chopsticks was a pleasant surprise for the sheer VFM.
The food was tasty, portions were generous, service was with a smile and the price of the dishes were happy on the pocket.
All in all - a nice option for a hearty chinese meal.",anisenkolkata0310,11-Apr-17,3
The Boulevard Hotel,"This hotel board say it was established in 1945. Indeed the architecture and furniture stand testimony to this claim. It appears that they have,however made some attempts in the past to upgrade though in bits and pieces. The result is a mixture of the reminiscences of a colonial heritage and the later on added amenities like window AC. Have stayed here a number of times in the past three years. Its located right at the heart of Bistupur. The rooms are clean and the food is not bad. However the menu is limited. Earlier they had a complimentary buffet breakfast served on the balcony of a meeting hall but last week when I was there for a day I found that missing. Also earlier there was a bar but not now. Overall its not bad for money they charge.",Ramesh S,12-Nov-16,3
The Boulevard Hotel,"Stayed there again since my last visit in February 2016. The factors that brought me back were the serene ambience, cleanliness of rooms , the amenities available, and of course the lip smacking food on offer at Chopsticks. The room service is still the best I ever came across. They are never short of a friendly smile and that lights up a gloomy day more often than not.",Travelmaniac19,27-Aug-16,3
The Boulevard Hotel,"The hotel is located in the Prime Location, all facilities including food and Halls are available inside. Conferences can be done here and a good for business hub, adjoined their are Cafeterias even for 1 to 1 meetings with hot cofee can be enjoyed just beneath the Hotel itself. Beautiful Ambience inside and truely a place to stay. Easy availability of all products as nearby are the shopping outlets and all facitlies and even cabs easily locate and reach u. Nearby station 5 mins distance in motor vehical.",Manish_bakshi,6-May-16,3
Hotel Siddhartha,"Located in main market of Jamshedpur and 3 kms away from railway station, this is pretty average hotel which requires renovation. Some rooms are ok but few are below average. The room in which I stayed didn't have the door locking knob in toilet. Reception is good though.",kgt7,22-Mar-17,1
Hotel Siddhartha,"Was in Jamshedpur for business trip , good the room from mmt , shown with beautiful pictures . but in actualls that rooms were only 2 in number , 
All other rooms were small & clumosy .

lots of mosquites & very bad staff beviour when asked about any facilities .

towels bed sheet all are in BAD conditions",jstrohit,3-Feb-17,2
Hotel Siddhartha,"Located in Bistupur and very near to the Tatanagar station. Rooms are very small. There is no restaurant. If you order, the hotel management can organize room service. I stayed here for one night during an official trip in last summer. It's just an average hotel.",tty70,26-Oct-17,3
Hotel Siddhartha,"My parents along with my uncle ant stayed in this hotel between 22/3/2016 to 24/3/2016. They had a nice stay. This was what they said ""Awesome food, very co-operation staff, good location but 
1. small parking or no parking space
2. Dining hall was dirty or under construction so, they had to have the food in room only.
3. Very less options for breakfast.""",Tania_GhosD,4-Apr-16,4
Hotel Siddhartha,"Went to Jamshedpur for a small business meeting. Booked the Hotel through Make My Trip. Check in was nice and smooth. Although the hotel looks old from outside, its well maintained inside. Rooms are on the smaller side but clean. I stayed executive and it was good. Staff was very cooperative starting from the front desk to room service. 
Overall a comfortable stay if you wanna live short. Location is also good. Its on the main road connecting Railway Station.",sheks1210,15-Mar-16,4
Hotel Jiva,"Impose random rules, extremely rigid and don?t offer solutions. Room size n cleanliness is ok but not location at that price you get much better and value hotels at other parts of city. Avoid this place.",PattufromSG,26-Dec-17,1
Hotel Jiva,"Had booked a banquet for a wedding dated 23-11-17 , along with a few rooms. Amazing service, and management. Special thanks to Mr. Sachin Their help was incredible. The wedding and associated ceremonies were great, the staff were attentive, the ceremonies ran flawlessly and the food was very good.",callsumankuar5,2-Dec-17,4
Hotel Jiva,"Stayed overnite while paying a visit to XLRI campus nearby 
Enjoied the very tasty food , ambience and staff service . 
Thumbs up to the kitchen and service staff !!

Clean rooms and the complimentary snacks were a welcome change, comfortable stay indeed 

Will def recommend the place and stay again !
Well done Mgmt and staff@JIVA",PillaiSuresh,2-Nov-17,4
Hotel Jiva,"This is one of the best hotels to stay in the industrial city. Located well within the city with easy access of public transport ae well. The hotel offers you various amenities besides a luxury and comfortable stay. Gym, complimentary breakfast and there is also a booking plan if you want your dinner charges to be included along with the tariff. The breakfast and dinner served has a good range of items as well",gaurav27288,14-Sep-17,5
Hotel Jiva,"After going through some options for a group party, we decided to place our bets on Jiva. And boy, did it pay well. Everything was perfect - from the elegance complementing the fun-filled environment of the party hall to the service we were provided with. Delicious food, brilliant service honoring all our requests and the courteous behavior of every hotel personnel involved made our time an unforgettable experience.

Kudos to the whole team of Jiva! Keep up the good work. We certainly look forward to be back to the place.",Aditya G,1-Sep-17,5
Hotel Jiva,"A great fresh option if putting up in busting Sakchi area. Rooms are quite spacious with large bathrooms. Food quality is good and expect wide spread buffet breakfast in morning. In room amenities are better than any other hotel, including fresh juices and complimentary snacks !! Hotel has good parking lot. Service is exemplary.",amit_kumar_jsr,6-Aug-17,4
Hotel Jiva,Thanx hotel Jiva team specially Azaz and Saikat I really had the right selection to conduct my marriage in hotel Jiva they proved and set an example of true hospitality everything was maintained perfectly and made the most auspicious moment of my life as a very special event the food was fabulous overall No1....Excellent keep it up thanx a lot once again Abhishek Srivastava.......,abhisekh a,10-Jul-17,5
Hotel Jiva,"I spent 2 nights in the Hotel during my recent visit to this city on a business tour. I wasnt expecting much from hotels there being a small city but, the Room I stayed was no less than a 4 Star Property room in Delhi.
All modern amenities, Good Wi-fi, decent Bar, reasonable Charges and good Service. To top your stay they served good Breakfast. 
100% recommended for people looking for a business hotel in Jamshedpur. 
Only drawback is their location being in a crowded market and busy roads.",Rishu J,8-Jul-17,5
Hotel Ganga Regency,"I was looking for good hotel at jamshedpur untill I stayed @ Ganga regency its a very good hotel at price , good room service with complimentary stuff.... Co-ordial staff, Restaurant with good availble food at resonable price. A. Complete value for money.",Manish A,27-Dec-17,4
Hotel Ganga Regency,I have always struggled to get a good hotel in Jamshedpur until i got to know about hotel Ganga Regency. it is a very nice option for the stay in Jamshedpur and the rooms especialy are quite spacious and clean. Food is good and service is of top quality!,AMOL2153,19-Aug-17,4
Hotel Ganga Regency,"One of the best hotel in Jamshedpur.
Room isn't very specious yet every amenities available like mini fridge,full of furniture,small packets of snacks etc.
Bathroom is clean and also well equipped (even kept hair dryer).
Every food that I've ordered was mouthwatering. Tastes soo good.
Service was quick and prompt.
Won't look any other hotel in my next Jamshedpur trip.

Hope this review helps. If so, please hit thumbs-up !",blackfury60,4-Jul-17,5
Hotel Ganga Regency,"Everything in this hotel is fantastic. Starting from the front office to the room service, from house keeping to the bell boy, everyone is excellent in service.
Breakfast has a lot of variety & the food is superb. 
The location is slightly far but is manageable.
The only thing I do not like in this hotel is the tea they provide, which is awful. For everything else, I give a 5-star..
Kudos to the team..!!",Gaururav D,14-Jan-17,5
Hotel Ganga Regency,"Here in jamshedpur for official purpose with my husband..
The hotel is very good and the staff is very prompt and well behaved.
The rooms are spacious and well maintained.
The best thing about the hotel is that the food is very good and very tasty.
Loved everything we ordered.. be it tandoor or chinese..
The room rates are also not over priced..
It is well within the budget..
Overall very good experience..
Would definitely like to stay here if we come again for official purpose..",Gargi C,29-Sep-16,5
Hotel Dayal International,"Good fresh looking rooms with necessary amenities. The Hotel is very well located close to a market and the Iconic Jubilee Park. However, the food could have been better. The staff at the front desk are very well mannered and trained. The staff in food service should be bette",sandeepkumarindia,26-Dec-17,4
Hotel Dayal International,"I have always chosen to stay at this hotel as I was comfortable booking it and found the people quite friendly. But for last one year the quality of service has gone down. the restaurant is extremely uncomfortable as it is located underground. The bar-restaurant is worst, as they allow smoking inside the bar-restaurant which is really suffocating. The rooms are congested.",AMOL2153,19-Aug-17,3
Hotel Dayal International,"Hotel Dayal International is very centrally located in Sakchi, few kilometres away from Sonari Airport. Tata Steel Zoological Park is situated in the corner most area of Jubilee Park and is well known for its ""Safari Park"". Bhuvaneshwari Temple, Bhatia Park and Jubilee Park that are located in the vicinity must be explored as well.

Rooms are great, AC works excellent in summer, bathrooms were good and so was their restaurant.",Amit A,4-May-17,4
Hotel Dayal International,"This is a good hotel in Jamshedpur. The best part of this hotel is the Service, which is too good. The way staff respond to your requests is just excellent. Laundry service is A-Class. When you get your clothes back, they looks like new clothes with extremely beautiful packing. Food is also good.
What is bad is the quality of Breakfast they serve. It looks like breakfast and dinner are made in different kitchens, if you see the difference in taste of the food. Breakfast quality can be improved a lot. Overall with Excellent Service, good location, average breakfast, it is a good hotel.",sk532,24-Mar-17,3
Hotel Dayal International,"Worst service, atrociously slow, non-communicative with the customer. Needless to say the menu is overpriced. Quality is pretty average. Chairs are horrible. Please do not visit this restaurant. Jamshedpur has much better options.",Sourabh J,15-Jan-17,1
Hotel Dayal International,This hotel is siuate at main part of city and take 15 minutes from railway station via auto.this is expensive hotel but room was spacious and good housekeeping.hotel staffs were obedient and good natured.also flooding was also very good.swimming pull also there .,pankh,30-Jan-17,3
Virat Hotel,"Location of the hotel is good -near kali mati road opposite sagar hotel. It takes 10 minutes from Tatanagar Railway station by auto 5 minute away from main bus stand. Hotel also was ok, clean rooms, toilet. Quick room service reception was very delightful.",sitrgeorge,30-Apr-17,3
Virat Hotel,Virat hotel is the most disgusting hotel in jamshedpur. Poor and cheap class hotel. Hotel management behaves like an illeterate. Washrooms are poorly maintained. Had stayed for a day here and had a worst experience.,manmeet singh W,11-Apr-17,2
Virat Hotel,"I was stay this hotel for two nights Feb 2017 the hotel is really bad cleanliness , every where was dust, in the bath room water leakage, staffs are not trained & they don't know how to talk with guest.

",rashidforbesfacility,22-Feb-17,1
Virat Hotel,I was stay this hotel Feb 16 with my wife in your Jamshedpur tour. Price is OK but service is very bad. This hotel inside the city. Room was clean but bathroom to dirty. Food was unhygienic with very poor quality. Stuff are so rude. I suggest avoid this hotel you travel with your family.,Nirmal M,31-Mar-16,2
Virat Hotel,the hotel where 95% of staff addicted to guthka and khaini.They used to carry and chew khaini during service which is very disgusting also the quality of food is very bad and unhygeinic.The management staff were unsmart and they doesn't know or speak english.They were unprofessional and only fit for working in roadside dhaba.,chowdhury2015,23-Dec-15,1
Residency Square,We stay here for two days. Me and my friends were very happy after selecting this hotel. Really it was very comfortable stay. beds and room was good and well maintained. Cleaning was perfect. Food was tasty but spicy for me.,MHP91,24-Feb-18,4
Residency Square,"This hotel is located in Sakchi and given the location, the prices were very cheap and reasonable. We stayed here for 2 days and really liked it. Our room was pretty spacious and comfortable. The washroom was very neat and clean. At these prices, I couldn't have asked for anything more.",smartaleck_aj,28-Sep-17,4
Residency Square,"Located right in the heart of Jamshedpur- Sakchi.The cleanliness was well-maintained and people are very helpful.The staff is very polite, helpful and friendly. The rooms as well as the lobby is well-maintained and clean.",sitrgeorge,30-Apr-17,3
Residency Square,This is an very good hotel staff is very cooperative. the bathroom is not catchy and the door of bathroom does not properly get closed. they do not have car parking facility and one has to park the car on the road outside the hotel although hotel guard stays there for the night,bhatsubash,26-Nov-16,3
Hotel Crystal Residency,The hotel is centrally located. the rooms are clean. room service is average. no quick response from hotel staff. breakfast served was very cold. there was no such problem while staying at this place except the major issue was the breakfast which was served very cold. this hotel does not have in house food service.,bhatsubash,26-Nov-16,4
Deodutt Palace,It is the worse hotel in this area.rooms and bathroom are very untidy.in night there was no water service in tap.we have to buy water from outer side for drink as the give water of very bad smells. The rooms have no proper color,deblisa2017,30-Sep-17,2
Deodutt Palace,"Being situated on a busy center, the sounds of the day traffic can be really disturbing. The rooms are just average and don't expect more than what you pay for. Normal things that one may take for granted may be missing as was the case with me.",Rohitflies,30-Nov-16,3
Deodutt Palace,Location of the hotel was good as it was central but there was too much traffic noise. Services are average though the staff we interacted with were helpful. Room were spacious but not very well maintained. It is easy to get a auto to other parts of town which was helpful,afa1981,19-Aug-16,2
Deodutt Palace,"The hotel is located centrally in the town on a main road.therefore whole day there is bustling noise available. exterior and reception is quite beautifully decorated,but as soon as you enter the room the situation become different.although the room is good and specious it is badly maintained (picture). Stains on the floor is cleverly camouflaged(picture).Bathroom looks good but stained towel is provided(picture). repeated request to replace fell into deaf ears. while the reception area was well illuminated,my room two main lamps were not working and my repeated request to replace them was ignored gracefully.AC was working but dirty blankets were provided which caused itching at the night gave uncomfortable sleep. Excellent LED TV is provided but selecting few free channel no other channels are available,even english news channel(pictur).However the staffs behavior were very courteous but any service request without TIPs is not entertained. they pretend to be a first class deaf.their free wi-fi service was so horrible that i had to use my personal dongle. This may be due to my booking through online. Next day I found better hotel nearb",ami_tomarin,2-Aug-16,2
